symbol,price,action_day,time,volume,turnover,bsflag,record_id,order_kind,function_code,ask_order_id,bid_order_id,channel,direction,datetime
000004.SZ,12.990000,20240308,95103960,1600,20784,66,7657514,0,48,7656897,7657513,2013,1,20240308095103960
000004.SZ,12.980000,20240308,95105730,700,9086,83,7664967,0,48,7664966,6995043,2013,2,20240308095105730
000004.SZ,12.990000,20240308,95106270,100,1299,66,7666996,0,48,7656897,7666995,2013,1,20240308095106270
000004.SZ,12.990000,20240308,95106270,100,1299,66,7666999,0,48,7656897,7666998,2013,1,20240308095106270
000004.SZ,12.990000,20240308,95106310,100,1299,66,7667211,0,48,7656897,7667210,2013,1,20240308095106310
000004.SZ,12.990000,20240308,95106360,100,1299,66,7667382,0,48,7656897,7667381,2013,1,20240308095106360
000004.SZ,12.990000,20240308,95106750,1000,12990,66,7669716,0,48,7656897,7669715,2013,1,20240308095106750
000004.SZ,12.980000,20240308,95106880,44000,571120,83,7670292,0,48,7670291,6995043,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95106880,2000,25960,83,7670293,0,48,7670291,7014150,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95106880,200,2596,83,7670294,0,48,7670291,7046370,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95106880,1300,16874,83,7670295,0,48,7670291,7345354,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95106880,400,5192,83,7670296,0,48,7670291,7608483,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95106880,200,2596,83,7670297,0,48,7670291,7633597,2013,2,20240308095106880
000004.SZ,12.970000,20240308,95106880,300,3891,83,7670298,0,48,7670291,6988485,2013,2,20240308095106880
000004.SZ,12.970000,20240308,95106880,1500,19455,83,7670299,0,48,7670291,6997326,2013,2,20240308095106880
000004.SZ,12.980000,20240308,95107580,400,5192,66,7673821,0,48,7670403,7673820,2013,1,20240308095107580
000004.SZ,12.990000,20240308,95107580,600,7794,66,7673822,0,48,7656897,7673820,2013,1,20240308095107580
000004.SZ,0.000000,20240308,95108200,300,0,32,7676460,0,67,0,5799336,2013,0,20240308095108200
000004.SZ,12.990000,20240308,95108570,100,1299,66,7677741,0,48,7656897,7677740,2013,1,20240308095108570
000004.SZ,0.000000,20240308,95110630,2000,0,32,7686077,0,67,21336,0,2013,0,20240308095110630
000004.SZ,0.000000,20240308,95111610,400,0,32,7689605,0,67,0,6896990,2013,0,20240308095111610
000004.SZ,12.970000,20240308,95111910,300,3891,83,7690549,0,48,7690548,6997326,2013,2,20240308095111910
000004.SZ,12.970000,20240308,95112500,200,2594,83,7693118,0,48,7693117,6997326,2013,2,20240308095112500
000004.SZ,0.000000,20240308,95112930,700,0,32,7695182,0,67,7686517,0,2013,0,20240308095112930
000004.SZ,0.000000,20240308,95113350,1000,0,32,7698190,0,67,7634789,0,2013,0,20240308095113350
000004.SZ,12.990000,20240308,95114150,200,2598,66,7704043,0,48,7656897,7704042,2013,1,20240308095114150
000004.SZ,12.990000,20240308,95114150,200,2598,66,7704044,0,48,7691045,7704042,2013,1,20240308095114150
000004.SZ,0.000000,20240308,95114210,400,0,32,7704513,0,67,6832052,0,2013,0,20240308095114210
000004.SZ,12.980000,20240308,95114940,700,9086,83,7709304,0,48,7709303,7695300,2013,2,20240308095114940
000004.SZ,12.990000,20240308,95115120,300,3897,66,7710641,0,48,7691045,7710640,2013,1,20240308095115120
000004.SZ,12.990000,20240308,95115120,100,1299,66,7710642,0,48,7702020,7710640,2013,1,20240308095115120
000004.SZ,0.000000,20240308,95117070,2400,0,32,7725487,0,67,7586127,0,2013,0,20240308095117070
